Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
348,"V Srinivasan, C Eswaran…","Approximate entropy-based epileptic EEG detection using artificial neural networks",2007,"IEEE Transactions on …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/4167902/","https://scholar.google.com/scholar?cites=3637386688768814603&as_sdt=5,33&sciodt=0,33&hl=en&num=20",647,"2017-06-15","","","","",0,0,0,0,348
347,"PJ Lisboa, AFG Taktak","The use of artificial neural networks in decision support in cancer: a systematic review",2006,"Neural networks","Elsevier","http://www.sciencedirect.com/science/article/pii/S0893608005002844","https://scholar.google.com/scholar?cites=12073662835197275434&as_sdt=5,33&sciodt=0,33&hl=en&num=20",810,"2017-06-15","","","","",0,0,0,0,347
346,"S Nissen","Implementation of a fast artificial neural network library (fann)",2003,"Report, Department of Computer Science University …","ftp2.uk.i-scream.org","https://scholar.google.comftp://ftp2.uk.i-scream.org/sites/downloads.sourceforge.net/f/fa/fann/fann_doc/1.0/fann_doc_complete_1.0.pdf","https://scholar.google.com/scholar?cites=14619671890808380989&as_sdt=5,33&sciodt=0,33&hl=en&num=20",100,"2017-06-15","PDF","","","",0,0,0,0,346
342,"M Kumar, NS Raghuwanshi, R Singh…","Estimating evapotranspiration using artificial neural network",2002,"Journal of Irrigation …","ascelibrary.org","http://ascelibrary.org/doi/abs/10.1061/(ASCE)0733-9437(2002)128:4(224)","https://scholar.google.com/scholar?cites=484801444143989425&as_sdt=5,33&sciodt=0,33&hl=en&num=20",28,"2017-06-15","","","","",0,0,0,0,342
339,"D Huesken, J Lange, C Mickanin, J Weiler…","Design of a genome-wide siRNA library using an artificial neural network",2005,"Nature …","nature.com","http://www.nature.com/nbt/journal/v23/n8/abs/nbt1118.html","https://scholar.google.com/scholar?cites=3657623743636459300&as_sdt=5,33&sciodt=0,33&hl=en&num=20",35,"2017-06-15","","","","",0,0,0,0,339
339,"IN Daliakopoulos, P Coulibaly, IK Tsanis","Groundwater level forecasting using artificial neural networks",2005,"Journal of Hydrology","Elsevier","http://www.sciencedirect.com/science/article/pii/S0022169404005840","https://scholar.google.com/scholar?cites=12637271108189328989&as_sdt=5,33&sciodt=0,33&hl=en&num=20",734,"2017-06-15","","","","",0,0,0,0,339
338,"YA Pachepsky, D Timlin…","Artificial neural networks to estimate soil water retention from easily measurable data",1996,"Soil Science Society of …","dl.sciencesocieties.org","https://dl.sciencesocieties.org/publications/sssaj/abstracts/60/3/SS0600030727","https://scholar.google.com/scholar?cites=16687861450129645209&as_sdt=5,33&sciodt=0,33&hl=en&num=20",838,"2017-06-15","","","","",0,0,0,0,338
337,"D Bejou, B Wray, TN Ingram","Determinants of relationship quality: an artificial neural network analysis",1996,"Journal of Business Research","Elsevier","http://www.sciencedirect.com/science/article/pii/014829639500100X","https://scholar.google.com/scholar?cites=3952197770898739846&as_sdt=5,33&sciodt=0,33&hl=en&num=20",30,"2017-06-15","","","","",0,0,0,0,337
336,"A Mellit, AM Pavan","A 24-h forecast of solar irradiance using artificial neural network: Application for performance prediction of a grid-connected PV plant at Trieste, Italy",2010,"Solar Energy","Elsevier","http://www.sciencedirect.com/science/article/pii/S0038092X10000782","https://scholar.google.com/scholar?cites=5181790436530149465&as_sdt=5,33&sciodt=0,33&hl=en&num=20",39,"2017-06-15","","","","",0,0,0,0,336
336,"S Baluja, D Pomerleau","Non-intrusive gaze tracking using artificial neural networks",1994,"","papers.nips.cc","https://papers.nips.cc/paper/863-non-intrusive-gaze-tracking-using-artificial-neural-networks.pdf","https://scholar.google.com/scholar?cites=10870883118089772345&as_sdt=5,33&sciodt=0,33&hl=en&num=20",448,"2017-06-15","PDF","","","",0,0,0,0,336
336,"H Raman, N Sunilkumar","Multivariate modelling of water resources time series using artificial neural networks",1995,"Hydrological Sciences Journal","Taylor & Francis","http://www.tandfonline.com/doi/abs/10.1080/02626669509491401","https://scholar.google.com/scholar?cites=6818316523632036619&as_sdt=5,33&sciodt=0,33&hl=en&num=20",755,"2017-06-15","","","","",0,0,0,0,336
333,"N Sajikumar, BS Thandaveswara","A non-linear rainfall–runoff model using an artificial neural network",1999,"Journal of Hydrology","Elsevier","http://www.sciencedirect.com/science/article/pii/S002216949800273X","https://scholar.google.com/scholar?cites=10380407958675737404&as_sdt=5,33&sciodt=0,33&hl=en&num=20",60,"2017-06-15","","","","",0,0,0,0,333
329,"DW Opitz, JW Shavlik","Generating accurate and diverse members of a neural-network ensemble",1996,"… in neural information processing systems","papers.nips.cc","http://papers.nips.cc/paper/1175-generating-accurate-and-diverse-members-of-a-neural-network-ensemble.pdf","https://scholar.google.com/scholar?cites=3913334081789927539&as_sdt=5,33&sciodt=0,33&hl=en&num=20",949,"2017-06-15","PDF","","","",0,0,0,0,329
328,"RJ Kuo, SC Chi, SS Kao","A decision support system for selecting convenience store location through integration of fuzzy AHP and artificial neural network",2002,"Computers in industry","Elsevier","http://www.sciencedirect.com/science/article/pii/S0166361501001476","https://scholar.google.com/scholar?cites=15982874982261667402&as_sdt=5,33&sciodt=0,33&hl=en&num=20",44,"2017-06-15","","","","",0,0,0,0,328
326,"WG Baxt","Use of an artificial neural network for data analysis in clinical decision-making: the diagnosis of acute coronary occlusion",1990,"Neural computation","MIT Press","http://www.mitpressjournals.org/doi/abs/10.1162/neco.1990.2.4.480","https://scholar.google.com/scholar?cites=5749168163686804721&as_sdt=5,33&sciodt=0,33&hl=en&num=20",27,"2017-06-15","","","","",0,0,0,0,326
317,"J Smith, RN Eli","Neural-network models of rainfall-runoff process",1995,"Journal of water resources planning and …","ascelibrary.org","http://ascelibrary.org/doi/abs/10.1061/(ASCE)0733-9496(1995)121:6(499)","https://scholar.google.com/scholar?cites=7774964669302536383&as_sdt=5,33&sciodt=0,33&hl=en&num=20",618,"2017-06-15","","","","",0,0,0,0,317
317,"DL Civco","Artificial neural networks for land-cover classification and mapping",1993,"International Journal of Geographical Information …","Taylor & Francis","http://www.tandfonline.com/doi/abs/10.1080/02693799308901949","https://scholar.google.com/scholar?cites=17808817687784737896&as_sdt=5,33&sciodt=0,33&hl=en&num=20",633,"2017-06-15","","","","",0,0,0,0,317
315,"M Khashei, M Bijari","An artificial neural network (p, d, q) model for timeseries forecasting",2010,"Expert Systems with applications","Elsevier","http://www.sciencedirect.com/science/article/pii/S0957417409004850","https://scholar.google.com/scholar?cites=1313647408118792598&as_sdt=5,33&sciodt=0,33&hl=en&num=20",49,"2017-06-15","","","","",0,0,0,0,315
314,"AH Neto, FAS Fiorelli","Comparison between detailed model simulation and artificial neural network for forecasting building energy consumption",2008,"Energy and buildings","Elsevier","http://www.sciencedirect.com/science/article/pii/S0378778808001448","https://scholar.google.com/scholar?cites=12558742868648586421&as_sdt=5,33&sciodt=0,33&hl=en&num=20",42,"2017-06-15","","","","",0,0,0,0,314
313,"HB Burke, PH Goodman, DB Rosen, DE Henson…","Artificial neural networks improve the accuracy of cancer survival prediction",1997,"Cancer","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1002/(SICI)1097-0142(19970215)79:4%3C857::AID-CNCR24%3E3.0.CO;2-Y/full","https://scholar.google.com/scholar?cites=15025010326726583006&as_sdt=5,33&sciodt=0,33&hl=en&num=20",556,"2017-06-15","HTML","","","",0,0,0,0,313
312,"A Khotanzad, R Afkhami-Rohani…","ANNSTLF-artificial neural network short-term load forecaster-generation three",1998,"IEEE Transactions on …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/736285/","https://scholar.google.com/scholar?cites=166919666617352925&as_sdt=5,33&sciodt=0,33&hl=en&num=20",37,"2017-06-15","","","","",0,0,0,0,312
312,"K Watanabe, I Matsuura, M Abe, M Kubota…","Incipient fault diagnosis of chemical processes via artificial neural networks",1989,"AIChE …","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1002/aic.690351106/full","https://scholar.google.com/scholar?cites=223580466284720799&as_sdt=5,33&sciodt=0,33&hl=en&num=20",895,"2017-06-15","","","","",0,0,0,0,312
310,"GF Hepner","Artificial neural network classification using a minimal training set. Comparison to conventional supervised classification",1990,"Photogrammetric Engineering and Remote …","utah.pure.elsevier.com","https://utah.pure.elsevier.com/en/publications/artificial-neural-network-classification-using-a-minimal-training","https://scholar.google.com/scholar?cites=7383634580469986513&as_sdt=5,33&sciodt=0,33&hl=en&num=20",7,"2017-06-15","","","","",0,0,0,0,310
309,"RJ Kuo, YC Wang, FC Tien","Integration of artificial neural network and MADA methods for green supplier selection",2010,"Journal of cleaner production","Elsevier","http://www.sciencedirect.com/science/article/pii/S0959652610001368","https://scholar.google.com/scholar?cites=14755490855609997990&as_sdt=5,33&sciodt=0,33&hl=en&num=20",58,"2017-06-15","","","","",0,0,0,0,309
309,"Y Hong, KL Hsu, S Sorooshian…","Precipitation estimation from remotely sensed imagery using an artificial neural network cloud classification system",2004,"Journal of Applied …","journals.ametsoc.org","http://journals.ametsoc.org/doi/abs/10.1175/JAM2173.1","https://scholar.google.com/scholar?cites=5787540097215168309&as_sdt=5,33&sciodt=0,33&hl=en&num=20",70,"2017-06-15","","","","",0,0,0,0,309
307,"AG Pedersen, H Nielsen","Neural network prediction of translation initiation sites in eukaryotes: perspectives for EST and genome analysis.",1997,"Ismb","ocs.aaai.org","https://ocs.aaai.org/Library/ISMB/1997/ismb97-034.php","https://scholar.google.com/scholar?cites=10803719244674176138&as_sdt=5,33&sciodt=0,33&hl=en&num=20",636,"2017-06-15","","","","",0,0,0,0,307
