Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
51,"K Polat, B Akdemir, S Güneş","Computer aided diagnosis of ECG data on the least square support vector machine",2008,"Digital Signal Processing","Elsevier","http://www.sciencedirect.com/science/article/pii/S1051200407000929","https://scholar.google.com/scholar?cites=16203088347344124767&as_sdt=5,33&sciodt=0,33&hl=en&num=20",598,"2017-06-15","","","","",0,0,0,0,51
51,"SH Chen, YR Luo","Speaker verification using MFCC and support vector machine",2009,"Proceedings of the International MultiConference of …","iaeng.org","http://www.iaeng.org/publication/IMECS2009/IMECS2009_pp532-535.pdf","https://scholar.google.com/scholar?cites=3353995883378169361&as_sdt=5,33&sciodt=0,33&hl=en&num=20",630,"2017-06-15","PDF","","","",0,0,0,0,51
51,"KM Sullivan, S Luke","Evolving kernels for support vector machine classification",2007,"Proceedings of the 9th annual conference on …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1277292","https://scholar.google.com/scholar?cites=1750775096815319862&as_sdt=5,33&sciodt=0,33&hl=en&num=20",633,"2017-06-15","","","","",0,0,0,0,51
51,"SW Fei, Y Sun","Forecasting dissolved gases content in power transformer oil based on support vector machine with genetic algorithm",2008,"Electric Power Systems Research","Elsevier","http://www.sciencedirect.com/science/article/pii/S0378779607001010","https://scholar.google.com/scholar?cites=8592637724949214422&as_sdt=5,33&sciodt=0,33&hl=en&num=20",661,"2017-06-15","","","","",0,0,0,0,51
51,"D Li, W Yang, S Wang","Classification of foreign fibers in cotton lint using machine vision and multi-class support vector machine",2010,"Computers and electronics in agriculture","Elsevier","http://www.sciencedirect.com/science/article/pii/S0168169910001602","https://scholar.google.com/scholar?cites=13872395181030235733&as_sdt=5,33&sciodt=0,33&hl=en&num=20",696,"2017-06-15","","","","",0,0,0,0,51
51,"T Verplancke, S Van Looy…","Support vector machine versus logistic regression modeling for prediction of hospital mortality in critically ill patients with haematological malignancies",2008,"BMC medical …","bmcmedinformdecismak. …","https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/1472-6947-8-56","https://scholar.google.com/scholar?cites=6364381179159310204&as_sdt=5,33&sciodt=0,33&hl=en&num=20",704,"2017-06-15","HTML","","","",0,0,0,0,51
51,"Q Hu, C Davis","Automatic plankton image recognition with co-occurrence matrices and support vector machine",2005,"Marine Ecology Progress Series","int-res.com","http://www.int-res.com/abstracts/meps/v295/p21-31/","https://scholar.google.com/scholar?cites=13350239583555711427&as_sdt=5,33&sciodt=0,33&hl=en&num=20",722,"2017-06-15","","","","",0,0,0,0,51
51,"J Yao, A Dwyer, RM Summers, DJ Mollura","Computer-aided diagnosis of pulmonary infections using texture analysis and support vector machine classification",2011,"Academic radiology","Elsevier","http://www.sciencedirect.com/science/article/pii/S1076633210006355","https://scholar.google.com/scholar?cites=17797361557988338850&as_sdt=5,33&sciodt=0,33&hl=en&num=20",736,"2017-06-15","","","","",0,0,0,0,51
51,"G Liu, L Chen, W Zhao, Y Jiang…","Internal model control of permanent magnet synchronous motor using support vector machine generalized inverse",2013,"IEEE Transactions on …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/6323024/","https://scholar.google.com/scholar?cites=2116298713850228625&as_sdt=5,33&sciodt=0,33&hl=en&num=20",746,"2017-06-15","","","","",0,0,0,0,51
51,"L Krause, AC McHardy, TW Nattkemper…","GISMO—gene identification using a support vector machine for ORF classification",2006,"Nucleic acids …","academic.oup.com","https://academic.oup.com/nar/article-abstract/35/2/540/2401825","https://scholar.google.com/scholar?cites=16449500700458274739&as_sdt=5,33&sciodt=0,33&hl=en&num=20",756,"2017-06-15","","","","",0,0,0,0,51
51,"H Geppert, T Horváth, T Gärtner, S Wrobel…","Support-vector-machine-based ranking significantly improves the effectiveness of similarity searching using 2D fingerprints and multiple reference compounds",2008,"Journal of chemical …","ACS Publications","http://pubs.acs.org/doi/abs/10.1021/ci700461s","https://scholar.google.com/scholar?cites=10730060377345872034&as_sdt=5,33&sciodt=0,33&hl=en&num=20",777,"2017-06-15","","","","",0,0,0,0,51
